full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
pchalasani/claude-code-tools,1494,1494,95,0,0,0,https://github.com/pchalasani/claude-code-tools
0xfurai/claude-code-subagents,729,729,139,1,1,0,https://github.com/0xfurai/claude-code-subagents
simonw/claude-code-transcripts,1055,1055,116,1,1,0,https://github.com/simonw/claude-code-transcripts
wasabeef/claude-code-cookbook,1014,1014,109,1,1,0,https://github.com/wasabeef/claude-code-cookbook
trailofbits/claude-code-config,1309,1309,97,15,15,2,https://github.com/trailofbits/claude-code-config
cixingguangming55555/wechat-bot,2533,2533,669,0,0,0,https://github.com/cixingguangming55555/wechat-bot
ComposioHQ/awesome-claude-skills,37712,37712,3713,63,63,9,https://github.com/ComposioHQ/awesome-claude-skills
revfactory/claude-code-mastering,757,757,122,0,0,0,https://github.com/revfactory/claude-code-mastering
farion1231/cc-switch,20123,20123,1257,23,23,3,https://github.com/farion1231/cc-switch
jeremylongshore/claude-code-plugins-plus-skills,1439,1439,173,0,0,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
alirezarezvani/claude-code-tresor,546,546,129,2,2,0,https://github.com/alirezarezvani/claude-code-tresor
anthropics/claude-agent-sdk-demos,1513,1513,241,3,3,0,https://github.com/anthropics/claude-agent-sdk-demos
d-kimuson/claude-code-viewer,914,914,101,1,1,0,https://github.com/d-kimuson/claude-code-viewer
anthropics/claude-agent-sdk-python,4997,4997,657,5,5,0,https://github.com/anthropics/claude-agent-sdk-python
browser-use/browser-use,78976,78976,9342,12,12,-2,https://github.com/browser-use/browser-use
numman-ali/openskills,8514,8514,552,7,7,0,https://github.com/numman-ali/openskills
danielmiessler/Personal_AI_Infrastructure,9184,9184,1262,5,5,2,https://github.com/danielmiessler/Personal_AI_Infrastructure
code-yeongyu/oh-my-opencode,34352,34352,2582,66,66,9,https://github.com/code-yeongyu/oh-my-opencode
alirezarezvani/claude-skills,1975,1975,238,5,5,1,https://github.com/alirezarezvani/claude-skills
ericbuess/claude-code-docs,702,702,100,0,0,0,https://github.com/ericbuess/claude-code-docs
opactorai/Claudable,3752,3752,564,0,0,0,https://github.com/opactorai/Claudable
kn1026/cc,703,703,271,0,0,0,https://github.com/kn1026/cc
kepano/obsidian-skills,10731,10731,580,62,62,3,https://github.com/kepano/obsidian-skills
MadAppGang/claude-code,238,238,25,0,0,0,https://github.com/MadAppGang/claude-code
severity1/claude-code-prompt-improver,1162,1162,98,0,0,0,https://github.com/severity1/claude-code-prompt-improver
greggh/claude-code.nvim,1856,1856,59,2,2,0,https://github.com/greggh/claude-code.nvim
lyconear/Claude-Code,4,4,146,0,0,0,https://github.com/lyconear/Claude-Code
superdesigndev/superdesign,6033,6033,681,0,0,0,https://github.com/superdesigndev/superdesign
upstash/context7,46926,46926,2227,25,25,0,https://github.com/upstash/context7
laravel/claude-code,504,504,16,0,0,0,https://github.com/laravel/claude-code
BloopAI/vibe-kanban,21896,21896,2096,14,14,0,https://github.com/BloopAI/vibe-kanban
Yeachan-Heo/oh-my-claudecode,7397,7397,515,18,18,1,https://github.com/Yeachan-Heo/oh-my-claudecode
anomalyco/opencode,110895,110895,11061,143,143,32,https://github.com/anomalyco/opencode
daymade/claude-code-skills,604,604,83,0,0,0,https://github.com/daymade/claude-code-skills
manzaltu/claude-code-ide.el,1371,1371,78,1,1,0,https://github.com/manzaltu/claude-code-ide.el
